timestep,Production,Injection,Pause,fluid_mass,temp,produced_T
0,0,1,0,1E7,50,28.2
1,0,1,0,1E7,50,50.0
2,0,1,0,1E7,50,50.0
3,0,1,0,1E7,50,50.0
4,0,1,0,1E7,50,50.0
5,0,1,0,1E7,50,50.0
6,0,1,0,1E7,50,50.0
7,0,1,0,1E7,50,50.0
8,0,1,0,1E7,50,50.0
9,0,1,0,1E7,50,50.0
10,0,1,0,1E7,50,50.0
11,0,1,0,1E7,50,50.0
12,0,1,0,1E7,50,50.0
13,0,1,0,1E7,50,50.0
14,0,1,0,1E7,50,50.0
15,0,1,0,1E7,50,50.0
16,0,1,0,1E7,50,50.0
17,0,1,0,1E7,50,50.0
18,0,1,0,1E7,50,50.0
19,0,1,0,1E7,50,50.0
20,0,1,0,1E7,50,50.0
21,0,1,0,1E7,50,50.0
22,0,1,0,1E7,50,50.0
23,0,1,0,1E7,50,50.0
24,0,1,0,1E7,50,50.0
25,0,1,0,1E7,50,50.0
26,0,1,0,1E7,50,50.0
27,0,1,0,1E7,50,50.0
28,0,1,0,1E7,50,50.0
29,0,1,0,1E7,50,50.0
30,0,1,0,1E7,50,50.0
31,0,1,0,1E7,50,50.0
32,0,1,0,1E7,50,50.0
33,0,1,0,1E7,50,50.0
34,0,1,0,1E7,50,50.0
35,0,1,0,1E7,50,50.0
36,0,1,0,1E7,50,50.0
37,0,1,0,1E7,50,50.0
38,0,1,0,1E7,50,50.0
39,0,1,0,1E7,50,50.0
40,0,1,0,1E7,50,50.0
41,0,1,0,1E7,50,50.0
42,0,1,0,1E7,50,50.0
43,0,1,0,1E7,50,50.0
44,0,1,0,1E7,50,50.0
45,0,1,0,1E7,50,50.0
46,0,1,0,1E7,50,50.0
47,0,1,0,1E7,50,50.0
48,0,1,0,1E7,50,50.0
49,0,1,0,1E7,50,50.0
50,0,1,0,1E7,50,50.0
51,0,1,0,1E7,50,50.0
52,0,1,0,1E7,50,50.0
53,0,1,0,1E7,50,50.0
54,0,1,0,1E7,50,50.0
55,0,1,0,1E7,50,50.0
56,0,1,0,1E7,50,50.0
57,0,1,0,1E7,50,50.0
58,0,1,0,1E7,50,50.0
59,0,1,0,1E7,50,50.0
60,0,1,0,1E7,50,50.0
61,0,1,0,1E7,50,50.0
62,0,1,0,1E7,50,50.0
63,0,1,0,1E7,50,50.0
64,0,1,0,1E7,50,50.0
65,0,1,0,1E7,50,50.0
66,0,1,0,1E7,50,50.0
67,0,1,0,1E7,50,50.0
68,0,1,0,1E7,50,50.0
69,0,1,0,1E7,50,50.0
70,0,1,0,1E7,50,50.0
71,0,1,0,1E7,50,50.0
72,0,1,0,1E7,50,50.0
73,0,1,0,1E7,50,50.0
74,0,1,0,1E7,50,50.0
75,0,1,0,1E7,50,50.0
76,0,1,0,1E7,50,50.0
77,0,1,0,1E7,50,50.0
78,0,1,0,1E7,50,50.0
79,0,1,0,1E7,50,50.0
80,0,1,0,1E7,50,50.0
81,0,1,0,1E7,50,50.0
82,0,1,0,1E7,50,50.0
83,0,1,0,1E7,50,50.0
84,0,1,0,1E7,50,50.0
85,0,1,0,1E7,50,50.0
86,0,1,0,1E7,50,50.0
87,0,1,0,1E7,50,50.0
88,0,1,0,1E7,50,50.0
89,0,1,0,1E7,50,50.0
90,0,1,0,1E7,50,50.0
91,0,1,0,1E7,50,50.0
92,0,0,1,1E7,50,49.953531749007
93,0,0,1,1E7,50,49.909331268677
94,0,0,1,1E7,50,49.866714984939
95,0,0,1,1E7,50,49.825247975066
96,0,0,1,1E7,50,49.784694652505
97,0,0,1,1E7,50,49.744899767307
98,0,0,1,1E7,50,49.705752218239
99,0,0,1,1E7,50,49.667165862493
100,0,0,1,1E7,50,49.629073239306
101,0,0,1,1E7,50,49.591418965989
102,0,0,1,1E7,50,49.554157464849
103,0,0,1,1E7,50,49.517249860718
104,0,0,1,1E7,50,49.480663783497
105,0,0,1,1E7,50,49.444370992953
106,0,0,1,1E7,50,49.408347154026
107,0,0,1,1E7,50,49.372570336577
108,0,0,1,1E7,50,49.337021501357
109,0,0,1,1E7,50,49.301683729623
110,0,0,1,1E7,50,49.266541831744
111,0,0,1,1E7,50,49.231581461348
112,0,0,1,1E7,50,49.196790281618
113,0,0,1,1E7,50,49.162156581706
114,0,0,1,1E7,50,49.127669693248
115,0,0,1,1E7,50,49.093319763453
116,0,0,1,1E7,50,49.059097375818
117,0,0,1,1E7,50,49.024994301573
118,0,0,1,1E7,50,48.991002574189
119,0,0,1,1E7,50,48.957114884439
120,0,0,1,1E7,50,48.923324232437
121,0,0,1,1E7,50,48.889623662394
122,0,0,1,1E7,50,48.856007220243
123,0,0,1,1E7,50,48.822469063851
124,0,0,1,1E7,50,48.789003656725
125,0,0,1,1E7,50,48.755605804779
126,0,0,1,1E7,50,48.722270073976
127,0,0,1,1E7,50,48.688992006293
128,0,0,1,1E7,50,48.655767401407
129,0,0,1,1E7,50,48.62259183576
130,0,0,1,1E7,50,48.589461229722
131,0,0,1,1E7,50,48.556371614458
132,0,0,1,1E7,50,48.523319480681
133,0,0,1,1E7,50,48.490301145005
134,0,0,1,1E7,50,48.457313324497
135,0,0,1,1E7,50,48.424352904779
136,0,0,1,1E7,50,48.391416918156
137,0,0,1,1E7,50,48.35850267472
138,0,0,1,1E7,50,48.325607061953
139,0,0,1,1E7,50,48.292727675676
140,0,0,1,1E7,50,48.259862074314
141,0,0,1,1E7,50,48.227008171932
142,0,0,1,1E7,50,48.194163737476
143,0,0,1,1E7,50,48.161326724863
144,0,0,1,1E7,50,48.128495367203
145,0,0,1,1E7,50,48.095667683343
146,0,0,1,1E7,50,48.062841942394
147,0,0,1,1E7,50,48.030016489516
148,0,0,1,1E7,50,47.997189493139
149,0,0,1,1E7,50,47.964359802293
150,0,0,1,1E7,50,47.931526131122
151,0,0,1,1E7,50,47.898687354885
152,0,0,1,1E7,50,47.865842038895
153,0,0,1,1E7,50,47.832989834456
154,0,0,1,1E7,50,47.80012969839
155,0,0,1,1E7,50,47.767260557861
156,0,0,1,1E7,50,47.734381549978
157,0,0,1,1E7,50,47.701491906317
158,0,0,1,1E7,50,47.668590941743
159,0,0,1,1E7,50,47.635678006874
160,0,0,1,1E7,50,47.602752598733
161,0,0,1,1E7,50,47.569814261638
162,0,0,1,1E7,50,47.53686245728
163,0,0,1,1E7,50,47.503896907155
164,0,0,1,1E7,50,47.470917365075
165,0,0,1,1E7,50,47.437923640829
166,0,0,1,1E7,50,47.40491558733
167,0,0,1,1E7,50,47.371893108616
168,0,0,1,1E7,50,47.33885615553
169,0,0,1,1E7,50,47.305804797627
170,0,0,1,1E7,50,47.272739033481
171,0,0,1,1E7,50,47.239658995402
172,0,0,1,1E7,50,47.206564783266
173,0,0,1,1E7,50,47.173456547108
174,0,0,1,1E7,50,47.140334497058
175,0,0,1,1E7,50,47.107198936074
176,0,0,1,1E7,50,47.074049990729
177,0,0,1,1E7,50,47.040887904364
178,0,0,1,1E7,50,47.007713624961
179,0,0,1,1E7,50,46.974527347831
180,0,0,1,1E7,50,46.941329483161
181,0,0,1,1E7,50,46.908120471513
182,0,0,1,1E7,50,46.874900783182
183,1,0,0,1E7,50,46.727108702288
184,1,0,0,1E7,50,46.588940545547
185,1,0,0,1E7,50,46.450676391263
186,1,0,0,1E7,50,46.310879791517
187,1,0,0,1E7,50,46.169431059062
188,1,0,0,1E7,50,46.026402527965
189,1,0,0,1E7,50,45.881866790622
190,1,0,0,1E7,50,45.735899410175
191,1,0,0,1E7,50,45.588567588189
192,1,0,0,1E7,50,45.439946002416
193,1,0,0,1E7,50,45.290126903951
